"District..","School..","District.x","School","BlackEnrollment","WhiteEnrollment","HispanicEnrollment","TotalEnrollment","PercentBlack","PercentWhite","District.Name","Discipline.School.Name","BlackStudentsPunished","WhiteStudentsPunished","HispanicStudentsPunished","TotalPunished","BlackStudentsPercentOfPunished","District.y","School.Name","White","Black.or.African.American","Hispanic.Latino","Asian","American.Indian.or.Alaska.Native","Native.Hawaiian.or.Other.Pacific.Islander","Two.or.More.Races","TotalTeachers","PercentWhiteTeachers","PercentOfBlackStudentsPunished","PercentOfWhiteStudentsPunished","PercentOfNonBlackStudentsPunished","PunishmentDisparityBlackVsWhite","PunishmentDisparityBlackVsNonBlack","PunishmentDisproportion","TeacherStudentRatio"
11,61,"COLLIER","GULFVIEW MIDDLE SCHOOL",60,369,162,591,0.101522842639594,0.624365482233503,"COLLIER","GULFVIEW MIDDLE SCHOOL",34,46,26,108,0.314814814814815,"COLLIER","GULFVIEW MIDDLE SCHOOL",33,2,4,2,0,0,0,41,0.804878048780488,0.566666666666667,0.124661246612466,0.182741116751269,0.442005420054201,0.383925549915398,-0.213291972175221,0.0693739424703892
11,9018,"COLLIER","MARCO ISLAND CHARTER MIDDLE",13,235,142,390,0.0333333333333333,0.602564102564103,"COLLIER","MARCO ISLAND CHARTER MIDDLE",10,20,9,39,0.256410256410256,"COLLIER","MARCO ISLAND CHARTER MIDDLE",23,0,1,0,0,0,0,24,0.958333333333333,0.769230769230769,0.0851063829787234,0.1,0.684124386252046,0.669230769230769,-0.223076923076923,0.0615384615384615
12,11,"COLUMBIA","COLUMBIA HIGH SCHOOL",516,1183,110,1909,0.270298585646936,0.619696176008381,"COLUMBIA","COLUMBIA HIGH SCHOOL",218,233,12,486,0.448559670781893,"COLUMBIA","COLUMBIA HIGH SCHOOL",94,16,3,2,0,0,2,117,0.803418803418803,0.422480620155039,0.196956889264582,0.254583551597695,0.225523730890457,0.167897068557344,-0.178261085134957,0.0612886327920377
12,121,"COLUMBIA","FORT WHITE ELEMENTARY SCHOOL",69,478,21,590,0.116949152542373,0.810169491525424,"COLUMBIA","FORT WHITE ELEMENTARY SCHOOL",3,30,2,43,0.0697674418604651,"COLUMBIA","FORT WHITE ELEMENTARY SCHOOL",39,5,2,1,0,0,0,47,0.829787234042553,0.0434782608695652,0.0627615062761506,0.0728813559322034,-0.0192832454065854,-0.0294030950626382,0.0471817106819078,0.0796610169491525
12,123,"COLUMBIA","FORT WHITE HIGH SCHOOL",123,875,81,1099,0.111919927206551,0.796178343949045,"COLUMBIA","FORT WHITE HIGH SCHOOL",81,263,28,403,0.200992555831266,"COLUMBIA","FORT WHITE HIGH SCHOOL",66,8,1,0,0,0,1,76,0.868421052631579,0.658536585365854,0.300571428571429,0.366696997270246,0.357965156794425,0.291839588095608,-0.0890726286247141,0.0691537761601456
12,141,"COLUMBIA","SUMMERS ELEMENTARY SCHOOL",211,295,0,517,0.408123791102515,0.570599613152805,"COLUMBIA","SUMMERS ELEMENTARY SCHOOL",28,14,1,44,0.636363636363636,"COLUMBIA","SUMMERS ELEMENTARY SCHOOL",40,0,1,0,0,0,0,41,0.975609756097561,0.132701421800948,0.0474576271186441,0.0851063829787234,0.0852437946823038,0.0475950388222245,-0.228239845261122,0.0793036750483559
12,241,"COLUMBIA","LAKE CITY MIDDLE SCHOOL",221,660,62,1006,0.219681908548708,0.656063618290258,"COLUMBIA","LAKE CITY MIDDLE SCHOOL",125,186,21,362,0.345303867403315,"COLUMBIA","LAKE CITY MIDDLE SCHOOL",56,2,0,1,0,0,0,59,0.949152542372881,0.565610859728507,0.281818181818182,0.359840954274354,0.283792677910325,0.205769905454153,-0.125621958854607,0.058648111332008
12,271,"COLUMBIA","WESTSIDE ELEMENTARY SCHOOL",115,507,35,667,0.172413793103448,0.760119940029985,"COLUMBIA","WESTSIDE ELEMENTARY SCHOOL",9,8,1,18,0.5,"COLUMBIA","WESTSIDE ELEMENTARY SCHOOL",45,4,0,0,0,0,0,49,0.918367346938776,0.0782608695652174,0.0157790927021696,0.0269865067466267,0.0624817768630478,0.0512743628185907,-0.327586206896552,0.0734632683658171
12,291,"COLUMBIA","PINEMOUNT ELEMENTARY SCHOOL",10,351,0,371,0.0269541778975741,0.946091644204852,"COLUMBIA","PINEMOUNT ELEMENTARY SCHOOL",0,27,5,36,0,"COLUMBIA","PINEMOUNT ELEMENTARY SCHOOL",32,1,1,0,0,0,0,34,0.941176470588235,0,0.0769230769230769,0.0970350404312668,-0.0769230769230769,-0.0970350404312668,0.0269541778975741,0.091644204851752
12,31,"COLUMBIA","RICHARDSON MIDDLE SCHOOL",204,292,0,517,0.39458413926499,0.564796905222437,"COLUMBIA","RICHARDSON MIDDLE SCHOOL",189,139,12,364,0.519230769230769,"COLUMBIA","RICHARDSON MIDDLE SCHOOL",30,10,0,1,0,0,2,43,0.697674418604651,0.926470588235294,0.476027397260274,0.704061895551257,0.45044319097502,0.222408692684037,-0.124646629965779,0.0831721470019342
12,71,"COLUMBIA","MELROSE PARK ELEMENTARY SCHOOL",199,208,0,407,0.488943488943489,0.511056511056511,"COLUMBIA","MELROSE PARK ELEMENTARY SCHOOL",72,46,8,138,0.521739130434783,"COLUMBIA","MELROSE PARK ELEMENTARY SCHOOL",29,3,0,0,0,0,0,32,0.90625,0.361809045226131,0.221153846153846,0.339066339066339,0.140655199072285,0.0227427061597916,-0.0327956414912937,0.0786240786240786
12,81,"COLUMBIA","EASTSIDE ELEMENTARY SCHOOL",94,441,0,546,0.172161172161172,0.807692307692308,"COLUMBIA","EASTSIDE ELEMENTARY SCHOOL",9,8,0,23,0.391304347826087,"COLUMBIA","EASTSIDE ELEMENTARY SCHOOL",38,2,0,0,0,0,0,40,0.95,0.0957446808510638,0.018140589569161,0.0421245421245421,0.0776040912819028,0.0536201387265217,-0.219143175664915,0.0732600732600733
12,91,"COLUMBIA","FIVE POINTS ELEMENTARY SCHOOL",72,267,0,349,0.206303724928367,0.765042979942693,"COLUMBIA","FIVE POINTS ELEMENTARY SCHOOL",0,0,0,0,NA,"COLUMBIA","FIVE POINTS ELEMENTARY SCHOOL",26,7,0,0,0,0,0,33,0.787878787878788,0,0,0,0,0,NA,0.0945558739255014
13,1010,"DADE","THE CHARTER SCHOOL AT WATERSTONE",98,78,780,956,0.102510460251046,0.0815899581589958,"MIAMI-DADE","THE CHARTER SCHOOL AT WATERSTONE",0,0,0,0,NA,"DADE","THE CHARTER SCHOOL AT WATERSTONE",19,3,32,0,0,0,0,54,0.351851851851852,0,0,0,0,0,NA,0.0564853556485356
13,1041,"DADE","CORAL REEF ELEMENTARY SCHOOL",109,231,492,844,0.12914691943128,0.273696682464455,"MIAMI-DADE","CORAL REEF ELEMENTARY SCHOOL",0,0,0,0,NA,"DADE","CORAL REEF ELEMENTARY SCHOOL",17,8,33,0,0,0,0,58,0.293103448275862,0,0,0,0,0,NA,0.0687203791469194
13,231,"DADE","AVENTURA WATERWAYS K-8 CENTER",225,682,1113,2020,0.111386138613861,0.337623762376238,"MIAMI-DADE","AVENTURA WATERWAYS K-8 CENTER",25,33,65,129,0.193798449612403,"DADE","AVENTURA WATERWAYS K-8 CENTER",33,19,63,3,0,0,0,118,0.279661016949153,0.111111111111111,0.0483870967741935,0.0638613861386139,0.0627240143369176,0.0472497249724972,-0.0824123109985417,0.0584158415841584
13,2541,"DADE","HOWARD DRIVE ELEMENTARY SCHOOL",93,197,295,585,0.158974358974359,0.336752136752137,"MIAMI-DADE","HOWARD DRIVE ELEMENTARY SCHOOL",0,0,0,0,NA,"DADE","HOWARD DRIVE ELEMENTARY SCHOOL",18,5,17,0,0,0,0,40,0.45,0,0,0,0,0,NA,0.0683760683760684
13,3033,"DADE","SOMERSET OAKS ACADEMY",21,23,478,522,0.0402298850574713,0.0440613026819923,"MIAMI-DADE","SOMERSET OAKS ACADEMY",0,2,10,12,0,"DADE","SOMERSET OAKS ACADEMY",11,3,17,0,0,0,0,31,0.354838709677419,0,0.0869565217391304,0.0229885057471264,-0.0869565217391304,-0.0229885057471264,0.0402298850574713,0.0593869731800766
13,3101,"DADE","FRANK CRAWFORD MARTIN K-8 CENTER",674,12,318,1004,0.671314741035857,0.0119521912350598,"MIAMI-DADE","FRANK CRAWFORD MARTIN K-8 CENTER",0,0,0,0,NA,"DADE","FRANK CRAWFORD MARTIN K-8 CENTER",15,17,34,2,0,0,0,68,0.220588235294118,0,0,0,0,0,NA,0.0677290836653386
13,3281,"DADE","MIAMI LAKES K-8 CENTER",36,60,1214,1310,0.0274809160305344,0.0458015267175573,"MIAMI-DADE","MIAMI LAKES K-8 CENTER",0,0,0,0,NA,"DADE","MIAMI LAKES K-8 CENTER",10,5,63,0,0,0,0,78,0.128205128205128,0,0,0,0,0,NA,0.0595419847328244
13,332,"DADE","SOMERSET ACADEMY (SILVER PALMS)",56,12,683,751,0.0745672436750999,0.0159786950732357,"MIAMI-DADE","SOMERSET ACADEMY (SILVER PALMS)",10,2,50,64,0.15625,"DADE","SOMERSET ACADEMY (SILVER PALMS)",11,5,16,0,0,0,0,32,0.34375,0.178571428571429,0.166666666666667,0.085219707057257,0.0119047619047619,0.0933517215141716,-0.0816827563249001,0.0426098535286285
13,3610,"DADE","KEYS GATE CHARTER SCHOOL",405,233,1461,2099,0.19294902334445,0.111005240590758,"MIAMI-DADE","KEYS GATE CHARTER SCHOOL",64,13,106,187,0.342245989304813,"DADE","KEYS GATE CHARTER SCHOOL",52,13,59,0,0,0,0,124,0.419354838709677,0.158024691358025,0.055793991416309,0.0890900428775607,0.102230699941716,0.0689346484804639,-0.149296965960363,0.059075750357313
13,4012,"DADE","SOMERSET ACADEMY AT SILVER PALMS",46,10,654,710,0.0647887323943662,0.0140845070422535,"MIAMI-DADE","SOMERSET ACADEMY AT SILVER PALMS",0,0,0,0,NA,"DADE","SOMERSET ACADEMY AT SILVER PALMS",20,3,19,0,0,0,0,42,0.476190476190476,0,0,0,0,0,NA,0.0591549295774648
13,4031,"DADE","GATEWAY ENVIRONMENTAL K-8 LEARNING CENTER",607,36,1133,1776,0.341779279279279,0.0202702702702703,"MIAMI-DADE","GATEWAY ENVIRONMENTAL K-8 LEARNING CENTER",121,7,96,226,0.535398230088496,"DADE","GATEWAY ENVIRONMENTAL K-8 LEARNING CENTER",31,26,51,0,0,1,0,109,0.284403669724771,0.199341021416804,0.194444444444444,0.127252252252252,0.00489657697235951,0.0720887691645517,-0.193618950809216,0.0613738738738739
13,5003,"DADE","SOUTH DADE MIDDLE SCHOOL",113,24,929,1066,0.106003752345216,0.0225140712945591,"MIAMI-DADE","SOUTH DADE MIDDLE SCHOOL",4,3,34,41,0.0975609756097561,"DADE","SOUTH DADE MIDDLE SCHOOL",16,21,25,3,0,0,0,65,0.246153846153846,0.0353982300884956,0.125,0.0384615384615385,-0.0896017699115044,-0.00306330837304289,0.00844277673545966,0.0609756097560976
