Dist #,District,Schl #,School Name,White,Black or African-American,Hispanic/Latino,Asian,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Two or More Races
05,BREVARD,2131,COLUMBIA ELEMENTARY SCHOOL,35,3,3,0,0,0,0
05,BREVARD,2151,DISCOVERY ELEMENTARY SCHOOL,35,7,6,0,0,0,0
05,BREVARD,2161,CHRISTA MCAULIFFE ELEMENTARY SCHOOL,49,3,2,1,0,0,0
05,BREVARD,2171,RIVIERA ELEMENTARY SCHOOL,35,2,8,0,0,0,1
05,BREVARD,2191,JUPITER ELEMENTARY SCHOOL,47,5,6,2,0,0,0
05,BREVARD,2211,BAYSIDE HIGH SCHOOL,67,7,7,1,0,0,1
05,BREVARD,2212,WESTSIDE ELEMENTARY SCHOOL,45,3,3,0,0,0,1
05,BREVARD,2221,SUNRISE ELEMENTARY SCHOOL,52,2,3,1,0,0,0
05,BREVARD,2311,HERITAGE HIGH SCHOOL,62,13,11,1,0,0,1
05,BREVARD,3011,EAU GALLIE HIGH SCHOOL,88,1,2,0,0,0,1
05,BREVARD,3021,CENTRAL MIDDLE SCHOOL,53,4,3,0,0,0,1
05,BREVARD,3031,LYNDON B. JOHNSON MIDDLE SCHOOL,38,2,2,0,1,0,2
05,BREVARD,3041,SHERWOOD ELEMENTARY SCHOOL,32,0,1,0,0,0,2
05,BREVARD,3061,HARBOR CITY ELEMENTARY SCHOOL,29,0,5,0,0,0,0
05,BREVARD,3071,SABAL ELEMENTARY SCHOOL,35,3,3,0,1,0,1
05,BREVARD,3091,CROTON ELEMENTARY SCHOOL,35,0,4,1,0,0,4
05,BREVARD,3101,ROY ALLEN ELEMENTARY SCHOOL,36,1,3,1,0,0,2
05,BREVARD,3121,SUNTREE ELEMENTARY SCHOOL,41,1,3,0,0,0,0
05,BREVARD,3131,LONGLEAF ELEMENTARY SCHOOL,41,1,1,0,0,0,2
05,BREVARD,3141,WESTSHORE JUNIOR/SENIOR HIGH SCHOOL,47,0,6,1,0,0,0
05,BREVARD,3151,QUEST ELEMENTARY SCHOOL,53,1,1,0,0,0,1
05,BREVARD,4011,MERRITT ISLAND HIGH SCHOOL,66,2,8,0,0,0,0
05,BREVARD,4021,EDGEWOOD JR/SR HIGH SCHOOL,47,0,4,0,0,1,0
05,BREVARD,4031,MILA ELEMENTARY SCHOOL,42,0,1,0,0,1,0
05,BREVARD,4041,TROPICAL ELEMENTARY SCHOOL,47,3,1,0,0,0,0
05,BREVARD,4051,AUDUBON ELEMENTARY SCHOOL,41,1,0,0,0,0,0
05,BREVARD,4071,ROBERT L. STEVENSON ELEMENTARY SCHOOL,26,1,2,0,0,0,0
05,BREVARD,4111,THOMAS JEFFERSON MIDDLE SCHOOL,32,1,2,0,0,0,1
05,BREVARD,4121,LEWIS CARROLL ELEMENTARY SCHOOL,39,0,2,0,0,0,1
05,BREVARD,5011,COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL,54,0,4,0,0,0,1
05,BREVARD,5012,THEODORE ROOSEVELT ELEMENTARY  SCHOOL,24,0,2,1,0,0,0
05,BREVARD,5021,FREEDOM 7 ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES,23,1,3,0,0,0,0
05,BREVARD,5031,CAPE VIEW ELEMENTARY SCHOOL,31,0,1,0,0,0,0
05,BREVARD,6011,SATELLITE SENIOR HIGH SCHOOL,64,0,2,0,0,0,0
05,BREVARD,6012,DELAURA MIDDLE SCHOOL,35,1,1,0,0,0,3
05,BREVARD,6013,SPESSARD L. HOLLAND ELEMENTARY SCHOOL,27,3,1,1,0,0,0
05,BREVARD,6051,SEA PARK ELEMENTARY SCHOOL,25,0,0,0,0,0,0
05,BREVARD,6061,SURFSIDE ELEMENTARY SCHOOL,31,0,0,0,1,0,0
05,BREVARD,6071,OCEAN BREEZE ELEMENTARY SCHOOL,36,0,0,0,0,1,2
05,BREVARD,6081,INDIALANTIC ELEMENTARY SCHOOL,45,1,2,0,1,0,0
05,BREVARD,6082,HERBERT C. HOOVER MIDDLE SCHOOL,28,1,1,0,0,0,2
05,BREVARD,6101,GEMINI ELEMENTARY SCHOOL,30,0,1,0,0,0,0
05,BREVARD,6141,DR. W.J. CREEL ELEMENTARY SCHOOL,61,3,3,1,0,0,1
05,BREVARD,6501,PALM BAY ACADEMY CHARTER SCHOOL,37,2,5,2,0,0,0
05,BREVARD,6506,CAMPUS CHARTER SCHOOL,7,0,0,0,0,0,0
05,BREVARD,6507,ODYSSEY CHARTER SCHOOL,66,3,3,0,0,0,0
05,BREVARD,6508,SCULPTOR CHARTER SCHOOL,31,0,4,0,0,0,0
05,BREVARD,6509,ROYAL PALM CHARTER SCHOOL,18,1,2,0,0,0,0
05,BREVARD,6511,EDUCATIONAL HORIZONS CHARTER,3,0,0,1,0,1,0
05,BREVARD,6515,IMAGINE SCHOOLS AT WEST MELBOURNE,24,1,1,0,0,0,0
05,BREVARD,6523,EMMA JEWEL CHARTER ACADEMY,7,10,1,0,0,0,0
05,BREVARD,6540,VIERA CHARTER SCHOOL,50,0,4,0,0,1,1
05,BREVARD,6541,ODYSSEY PREPARATORY CHARTER ACADEMY,16,3,2,0,0,0,0
05,BREVARD,6543,PINEAPPLE COVE CLASSICAL ACADEMY,29,1,2,0,0,0,0
05,BREVARD,7004,BREVARD VIRTUAL FRANCHISE,26,2,2,0,0,0,0
05,BREVARD,9001,BREVARD DISTRICT OFFICE,35,1,4,1,0,0,0
06,BROWARD,0011,DEERFIELD BEACH ELEMENTARY SCHOOL,32,9,4,2,0,0,1
06,BROWARD,0021,POMPANO BEACH MIDDLE SCHOOL,20,37,4,0,0,1,0
06,BROWARD,0031,OAKLAND PARK ELEMENTARY SCHOOL,23,11,7,1,0,0,0
06,BROWARD,0041,NORTH SIDE ELEMENTARY SCHOOL,8,11,4,1,0,0,4
06,BROWARD,0101,DANIA ELEMENTARY SCHOOL,21,9,12,2,0,0,0
06,BROWARD,0111,HOLLYWOOD HILLS ELEMENTARY SCHOOL,38,4,7,0,0,0,0
06,BROWARD,0121,HOLLYWOOD CENTRAL ELEMENTARY SCHOOL,24,6,4,0,0,0,1
06,BROWARD,0131,GULFSTREAM ACADEMY OF HALLANDALE BEACH,39,27,26,3,0,1,1
